date,Male Speakers,Female Speakers
4/02/16,60,0
9/02/16,120,0
1/03/16,180,0
15/03/16,195,0
15/03/16,195,15
15/03/16,210,15
15/03/16,225,15
15/03/16,285,15
17/03/16,300,15
17/03/16,300,30
17/03/16,315,30
17/03/16,330,30
21/03/16,345,30
21/03/16,345,45
21/03/16,360,45
21/03/16,375,45
22/03/16,390,45
22/03/16,405,45
22/03/16,405,60
22/03/16,420,60
7/05/16,480,60
11/05/16,480,120
12/05/16,480,180
13/05/16,480,240
14/05/16,480,300
15/05/16,480,360
19/05/16,480,420
27/05/16,540,420
5/07/16,570,420
5/07/16,600,420
5/07/16,630,420
5/07/16,660,420
6/07/16,690,420
6/07/16,720,420
7/07/16,750,420
7/07/16,780,420
12/07/16,840,420
13/07/16,900,420
3/08/16,930,420
3/08/16,960,420
4/08/16,990,420
4/08/16,1020,420
5/08/16,1050,420
5/08/16,1080,420
30/08/16,1140,420
31/08/16,1200,420
6/09/16,1230,420
6/09/16,1260,420
7/09/16,1290,420
7/09/16,1320,420
8/09/16,1350,420
8/09/16,1380,420
